1258,"Fatty acids, total saturated",G
1259,SFA 4:0,G
1260,SFA 6:0,G
1261,SFA 8:0,G
1262,SFA 10:0,G
1263,SFA 12:0,G
1264,SFA 14:0,G
1265,SFA 16:0,G
1266,SFA 18:0,G
1267,SFA 20:0,G
1268,MUFA 18:1,G
1269,PUFA 18:2,G
1270,PUFA 18:3,G
1271,PUFA 20:4,G
1272,PUFA 22:6 n-3 (DHA),G
1273,SFA 22:0,G
1274,MUFA 14:1,G
1275,MUFA 16:1,G
1276,PUFA 18:4,G
1277,MUFA 20:1,G
1278,PUFA 20:5 n-3 (EPA),G
1279,MUFA 22:1,G
1280,PUFA 22:5 n-3 (DPA),G
1281,TFA 14:1 t,G
1283,Phytosterols,MG
1284,Ergosterol,MG
1285,Stigmasterol,MG
1286,Campesterol,MG
1287,Brassicasterol,MG
1288,Beta-sitosterol,MG
1289,Campestanol,MG
1290,Unsaponifiable matter (lipids),G
1291,"Fatty acids, other than 607-615, 617-621, 624-632, 652-654, 686-689)",G
1292,"Fatty acids, total monounsaturated",G
1293,"Fatty acids, total polyunsaturated",G
1294,Beta-sitostanol,MG
1295,Delta-7-avenasterol,MG
1296,Delta-5-avenasterol,MG
1297,Alpha-spinasterol,MG
1298,"Phytosterols, other",MG
1299,SFA 15:0,G
1300,SFA 17:0,G
1301,SFA 24:0,G
1302,Wax Esters(Total Wax),G
1303,TFA 16:1 t,G
1304,TFA 18:1 t,G
1305,TFA 22:1 t,G
1306,TFA 18:2 t not further defined,G
1307,PUFA 18:2 i,G
1308,"PUFA 18:2 t,c",G
1309,"PUFA 18:2 c,t",G
1310,"TFA 18:2 t,t",G
1311,PUFA 18:2 CLAs,G
1312,MUFA 24:1 c,G
1313,"PUFA 20:2 n-6 c,c",G
1314,MUFA 16:1 c,G
1315,MUFA 18:1 c,G
1316,"PUFA 18:2 n-6 c,c",G
1317,MUFA 22:1 c,G
1318,"Fatty acids, saturated, other",G
1319,"Fatty acids, monounsat., other",G
1320,"Fatty acids, polyunsat., other",G
1321,"PUFA 18:3 n-6 c,c,c",G
1322,SFA 19:0,G
1323,MUFA 17:1,G
1324,PUFA 16:2,G
1325,PUFA 20:3,G
1326,"Fatty acids, total sat., NLEA",G
1327,"Fatty acids, total monounsat., NLEA",G
1328,"Fatty acids, total polyunsat., NLEA",G
1329,"Fatty acids, total trans-monoenoic",G
1330,"Fatty acids, total trans-dienoic",G
1331,"Fatty acids, total trans-polyenoic",G
1332,SFA 13:0,G
1333,MUFA 15:1,G
1334,PUFA 22:2,G
1335,SFA 11:0,G
1336,"ORAC, Hydrophyllic",UMOL_TE
1337,"ORAC, Lipophillic",UMOL_TE
1338,"ORAC, Total",UMOL_TE
1339,Total Phenolics,MG_GAE
1340,Daidzein,MG
1341,Genistein,MG
1342,Glycitein,MG
1343,Isoflavones,MG
1344,Biochanin A,MG
1345,Formononetin,MG
1346,Coumestrol,MG
1347,"Flavonoids, total",MG
1348,Anthocyanidins,MG
1349,Cyanidin,MG
